"","author","division","isbn","onsaledate","pages","priceusa","agerangecode","category"
"1","ACHEBE, CHINUA","Knopf","9780307592705","01/05/2010","536","30.00","0","FIC"
"2","TILLWORTH, MARY","RH Childrens Books","9780375857331","01/05/2010","24","4.99","0307","JUV"
"3","FLANAGAN, JOHN","Penguin Young Readers","9780399252051","01/05/2010","384","18.99","10UP","JUV"
"4","GILBERT, ELIZABETH","Penguin Adult HC/TR","9780670021659","01/05/2010","304","26.95","0","BIO"
"5","RH DISNEY","RH Childrens Books","9780736426701","01/05/2010","24","4.99","0307","JUV"
"6","DIXON, CHUCK","IDW Publishing","9781600105777","01/05/2010","152","19.99","0","CGN"
"7","BILDNER, PHIL","Penguin Young Readers","9780399247897","01/07/2010","32","17.99","0508","JUV"
"8","REYNOLDS, AARON","Penguin Young Readers","9780399250910","01/07/2010","32","16.99","0608","JUV"
"9","CHAPMAN, MARTIN","Prestel Publishing","9783791350158","01/10/2010","176","34.95","0","ANT"
"10","NERUDA, PABLO","Knopf","9780307474742","01/12/2010","160","15.00","0","POE"
"11","BOLDEN, TONYA","RH Childrens Books","9780375852145","01/12/2010","144","19.99","12UP","YAN"
"12","MCHUGH, GELOLO","RH Childrens Books","9780375854606","01/12/2010","24","4.99","0307","JUV"
"13","DITCHFIELD, CHRISTIN","RH Childrens Books","9780375854613","01/12/2010","24","4.99","0307","JNF"
"14","WATSON, JANE WERNER","RH Childrens Books","9780375854866","01/12/2010","24","4.99","0307","JNF"
"15","HOLM, JENNIFER L.","RH Childrens Books","9780375957130","01/12/2010","96","12.99","0710","JUV"
"16","SIEGEL, DANIEL J.","Bantam Dell","9780553804706","01/12/2010","336","28.00","0","OCC"
"17","TEITELBAUM, MICHAEL","RH Childrens Books","9780736426565","01/12/2010","80","6.99","0307","JUV"
"18","TAVARES, MATT","Candlewick","9780763632243","01/12/2010","40","16.99","0812","JNF"
"19","BLAIR, MARGARET WHITMAN","National Geographic Society","9781426305900","01/12/2010","64","18.95","10UP","JNF"
"20","BOWERS, RICK","National Geographic Society","9781426305955","01/12/2010","128","16.95","12UP","YAN"
"21","BOWERS, RICK","National Geographic Society","9781426305962","01/12/2010","128","26.90","12UP","YAN"
"22","STEWART, MELISSA","National Geographic Society","9781426306099","01/12/2010","32","14.90","0406","JNF"
"23","SCHREIBER, ANNE","National Geographic Society","9781426306112","01/12/2010","32","14.90","0508","JNF"
"24","CROY, ELDEN","National Geographic Society","9781426306327","01/12/2010","64","27.90","10UP","JNF"
"25","BARKER, CATHERINE","National Geographic Society","9781426306334","01/12/2010","64","27.90","10UP","JNF"
"26","LAOR, YITZHAK","Verso Books","9781844673148","01/12/2010","192","22.95","0","HIS"
"27","ADLER, DAVID A.","Holiday House","9780823420070","01/15/2010","32","17.95","0408","JNF"
"28","ADLER, DAVID A.","Holiday House","9780823420568","01/15/2010","144","21.95","10UP","JNF"
"29","COX, JUDY","Holiday House","9780823421947","01/15/2010","32","16.95","0408","JUV"
"30","ADLER, DAVID A.","Holiday House","9780823421992","01/15/2010","32","17.95","0609","JNF"
"31","CAMPBELL, EDDIE","IDW Publishing","9781603090476","01/18/2010","640","49.95","0","CGN"
"32","MCMANUS, GEORGE","IDW Publishing","9781600105081","01/19/2010","272","49.99","0","HUM"
"33","MILLS, PAT","Titan","9781845767976","01/19/2010","112","19.95","0","CGN"
"34","MARSHALL, JOHN","The Library of America","9781598530643","01/21/2010","928","40.00","0","LAW"
"35","MYSTERY","Ballantine Group","9780345518194","01/26/2010","272","25.00","0","PSY"
"36","SURGAL, JON","RH Childrens Books","9780375856396","01/26/2010","48","9.99","0406","JUV"
"37","ZIEHER, SCOTT","powerHouse Books","9781576875223","01/26/2010","108","24.95","0","PHO"
"38","GODIN, SETH","Penguin Adult HC/TR","9781591843160","01/26/2010","256","26.95","0","BUS"
